
user:1, item:1, rank:2
user:1, item:2, rank:2
user:1, item:3, rank:2
user:1, item:4, rank:2
user:1, item:5, rank:2
user:1, item:6, rank:3
user:1, item:9, rank:3
user:1, item:10, rank:3
user:1, item:11, rank:3
user:1, item:12, rank:3
user:1, item:13, rank:3
user:1, item:14, rank:2
user:1, item:15, rank:3
user:1, item:16, rank:2
user:1, item:17, rank:2
user:1, item:18, rank:2
user:1, item:19, rank:2
user:1, item:20, rank:2
user:1, item:21, rank:3
user:1, item:22, rank:3
user:1, item:23, rank:3
user:1, item:24, rank:3
user:1, item:25, rank:2
user:1, item:28, rank:1
user:1, item:29, rank:2
user:1, item:32, rank:2
user:1, item:33, rank:2
user:1, item:34, rank:2
user:1, item:35, rank:2
user:1, item:38, rank:2
user:1, item:39, rank:2
user:1, item:40, rank:2
user:1, item:42, rank:3
user:1, item:43, rank:3
user:1, item:44, rank:4
user:1, item:45, rank:3
user:1, item:48, rank:2
user:1, item:49, rank:2
user:2, item:2, rank:2
user:2, item:5, rank:3
user:2, item:6, rank:4
user:2, item:8, rank:3
user:2, item:9, rank:3
user:2, item:12, rank:3
user:2, item:13, rank:3
user:2, item:15, rank:3
user:2, item:16, rank:2
user:2, item:17, rank:3
user:2, item:19, rank:2
user:2, item:20, rank:2
user:2, item:21, rank:4
user:2, item:22, rank:4
user:2, item:23, rank:4
user:2, item:24, rank:3
user:2, item:25, rank:3
user:2, item:27, rank:3
user:2, item:28, rank:3
user:2, item:32, rank:4
user:2, item:35, rank:2
user:2, item:38, rank:4
user:2, item:39, rank:3
user:2, item:42, rank:2
user:2, item:43, rank:2
user:2, item:44, rank:3
user:2, item:45, rank:2
user:2, item:46, rank:2
user:2, item:47, rank:2
user:2, item:48, rank:2
user:3, item:1, rank:2
user:3, item:2, rank:2
user:3, item:15, rank:2
user:3, item:16, rank:3
user:3, item:19, rank:3
user:3, item:20, rank:3
user:3, item:26, rank:3
user:3, item:27, rank:2
user:3, item:35, rank:3
user:3, item:36, rank:3
user:3, item:41, rank:2
user:3, item:42, rank:2
user:3, item:43, rank:3
user:3, item:44, rank:2
user:3, item:45, rank:4
user:3, item:46, rank:2
user:3, item:47, rank:3
user:3, item:48, rank:2
user:3, item:49, rank:2
user:3, item:50, rank:2
user:4, item:1, rank:3
user:4, item:2, rank:3
user:4, item:3, rank:3
user:4, item:4, rank:3
user:4, item:5, rank:3
user:4, item:6, rank:4
user:4, item:7, rank:4
user:4, item:8, rank:4
user:4, item:9, rank:4
user:4, item:10, rank:4
user:4, item:11, rank:4
user:4, item:12, rank:4
user:4, item:13, rank:4
user:4, item:14, rank:4
user:4, item:15, rank:4
user:4, item:16, rank:4
user:4, item:17, rank:3
user:4, item:18, rank:3
user:4, item:19, rank:3
user:4, item:20, rank:3
user:4, item:21, rank:4
user:4, item:22, rank:5
user:4, item:26, rank:5
user:4, item:40, rank:4
user:4, item:41, rank:3
user:4, item:42, rank:3
user:4, item:43, rank:4
user:4, item:44, rank:4
user:4, item:45, rank:4
user:4, item:46, rank:3
user:4, item:47, rank:5
