
user:1, item:7, real_rank:4, predicted_rank:3
user:1, item:8, real_rank:3, predicted_rank:3
user:1, item:26, real_rank:2, predicted_rank:2
user:1, item:27, real_rank:1, predicted_rank:2
user:1, item:30, real_rank:2, predicted_rank:2
user:1, item:31, real_rank:1, predicted_rank:1
user:1, item:36, real_rank:2, predicted_rank:2
user:1, item:37, real_rank:2, predicted_rank:2
user:1, item:41, real_rank:4, predicted_rank:3
user:1, item:46, real_rank:2, predicted_rank:2
user:1, item:47, real_rank:3, predicted_rank:1
user:1, item:50, real_rank:2, predicted_rank:2
user:2, item:1, real_rank:1, predicted_rank:2
user:2, item:3, real_rank:2, predicted_rank:2
user:2, item:4, real_rank:2, predicted_rank:3
user:2, item:7, real_rank:4, predicted_rank:4
user:2, item:10, real_rank:5, predicted_rank:3
user:2, item:11, real_rank:2, predicted_rank:3
user:2, item:14, real_rank:1, predicted_rank:3
user:2, item:18, real_rank:3, predicted_rank:2
user:2, item:26, real_rank:4, predicted_rank:3
user:2, item:29, real_rank:3, predicted_rank:3
user:2, item:30, real_rank:5, predicted_rank:3
user:2, item:31, real_rank:5, predicted_rank:2
user:2, item:33, real_rank:4, predicted_rank:3
user:2, item:34, real_rank:3, predicted_rank:4
user:2, item:36, real_rank:5, predicted_rank:4
user:2, item:37, real_rank:4, predicted_rank:4
user:2, item:40, real_rank:3, predicted_rank:4
user:2, item:41, real_rank:2, predicted_rank:3
user:2, item:49, real_rank:2, predicted_rank:2
user:2, item:50, real_rank:1, predicted_rank:3
user:3, item:3, real_rank:5, predicted_rank:3
user:3, item:4, real_rank:4, predicted_rank:4
user:3, item:5, real_rank:5, predicted_rank:3
user:3, item:6, real_rank:4, predicted_rank:4
user:3, item:7, real_rank:5, predicted_rank:3
user:3, item:8, real_rank:3, predicted_rank:3
user:3, item:9, real_rank:4, predicted_rank:4
user:3, item:10, real_rank:4, predicted_rank:3
user:3, item:11, real_rank:2, predicted_rank:4
user:3, item:12, real_rank:3, predicted_rank:3
user:3, item:13, real_rank:2, predicted_rank:3
user:3, item:14, real_rank:1, predicted_rank:3
user:3, item:17, real_rank:1, predicted_rank:3
user:3, item:18, real_rank:2, predicted_rank:2
user:3, item:21, real_rank:1, predicted_rank:3
user:3, item:22, real_rank:2, predicted_rank:3
user:3, item:23, real_rank:3, predicted_rank:2
user:3, item:24, real_rank:1, predicted_rank:2
user:3, item:25, real_rank:1, predicted_rank:3
user:3, item:28, real_rank:2, predicted_rank:2
user:3, item:29, real_rank:3, predicted_rank:2
user:3, item:30, real_rank:2, predicted_rank:3
user:3, item:31, real_rank:4, predicted_rank:2
user:3, item:32, real_rank:4, predicted_rank:3
user:3, item:33, real_rank:3, predicted_rank:2
user:3, item:34, real_rank:5, predicted_rank:3
user:3, item:37, real_rank:2, predicted_rank:2
user:3, item:38, real_rank:3, predicted_rank:3
user:3, item:39, real_rank:2, predicted_rank:2
user:3, item:40, real_rank:1, predicted_rank:2
user:4, item:23, real_rank:5, predicted_rank:4
user:4, item:24, real_rank:3, predicted_rank:4
user:4, item:25, real_rank:4, predicted_rank:5
user:4, item:27, real_rank:3, predicted_rank:4
user:4, item:28, real_rank:4, predicted_rank:3
user:4, item:29, real_rank:2, predicted_rank:4
user:4, item:30, real_rank:3, predicted_rank:3
user:4, item:31, real_rank:5, predicted_rank:3
user:4, item:32, real_rank:4, predicted_rank:4
user:4, item:33, real_rank:3, predicted_rank:3
user:4, item:34, real_rank:5, predicted_rank:4
user:4, item:35, real_rank:4, predicted_rank:4
user:4, item:36, real_rank:4, predicted_rank:5
user:4, item:37, real_rank:3, predicted_rank:4
user:4, item:38, real_rank:5, predicted_rank:4
user:4, item:39, real_rank:4, predicted_rank:4
user:4, item:48, real_rank:4, predicted_rank:4
user:4, item:50, real_rank:5, predicted_rank:4
user:5, item:9, real_rank:5, predicted_rank:4
user:5, item:10, real_rank:4, predicted_rank:4
user:5, item:15, real_rank:5, predicted_rank:4
user:5, item:16, real_rank:4, predicted_rank:3
user:5, item:28, real_rank:2, predicted_rank:3
user:5, item:29, real_rank:3, predicted_rank:3
user:5, item:31, real_rank:3, predicted_rank:2
user:5, item:32, real_rank:2, predicted_rank:3
user:5, item:38, real_rank:4, predicted_rank:4
user:5, item:39, real_rank:3, predicted_rank:3
user:5, item:42, real_rank:4, predicted_rank:5
user:5, item:43, real_rank:5, predicted_rank:4
user:5, item:46, real_rank:4, predicted_rank:3
user:5, item:47, real_rank:3, predicted_rank:4
user:6, item:13, real_rank:1, predicted_rank:3
user:6, item:14, real_rank:2, predicted_rank:2
user:6, item:15, real_rank:1, predicted_rank:3
user:6, item:21, real_rank:5, predicted_rank:2
user:6, item:22, real_rank:4, predicted_rank:4
user:6, item:31, real_rank:1, predicted_rank:2
user:6, item:33, real_rank:2, predicted_rank:2
user:6, item:34, real_rank:1, predicted_rank:2
user:6, item:35, real_rank:3, predicted_rank:1
user:6, item:36, real_rank:3, predicted_rank:3
user:6, item:37, real_rank:4, predicted_rank:3
user:6, item:38, real_rank:5, predicted_rank:3
user:6, item:39, real_rank:3, predicted_rank:3
user:6, item:40, real_rank:3, predicted_rank:3
user:6, item:44, real_rank:2, predicted_rank:4
user:7, item:1, real_rank:4, predicted_rank:3
user:7, item:2, real_rank:3, predicted_rank:2
user:7, item:6, real_rank:2, predicted_rank:2
user:7, item:7, real_rank:3, predicted_rank:2
user:7, item:10, real_rank:2, predicted_rank:2
user:7, item:11, real_rank:1, predicted_rank:3
user:7, item:12, real_rank:2, predicted_rank:2
user:7, item:13, real_rank:3, predicted_rank:2
user:7, item:14, real_rank:1, predicted_rank:2
user:7, item:15, real_rank:1, predicted_rank:2
user:7, item:16, real_rank:1, predicted_rank:1
user:7, item:17, real_rank:3, predicted_rank:2
user:7, item:19, real_rank:2, predicted_rank:2
user:7, item:20, real_rank:1, predicted_rank:2
user:7, item:21, real_rank:4, predicted_rank:3
user:7, item:22, real_rank:5, predicted_rank:3
user:7, item:26, real_rank:1, predicted_rank:2
user:7, item:27, real_rank:2, predicted_rank:2
user:7, item:28, real_rank:3, predicted_rank:1
user:7, item:29, real_rank:1, predicted_rank:1
user:7, item:30, real_rank:1, predicted_rank:2
user:7, item:32, real_rank:1, predicted_rank:2
user:7, item:33, real_rank:2, predicted_rank:1
user:7, item:38, real_rank:2, predicted_rank:2
user:7, item:39, real_rank:3, predicted_rank:2
user:7, item:43, real_rank:4, predicted_rank:4
user:7, item:44, real_rank:5, predicted_rank:3
user:7, item:46, real_rank:3, predicted_rank:2
user:7, item:47, real_rank:2, predicted_rank:3
user:7, item:48, real_rank:3, predicted_rank:3
user:7, item:49, real_rank:4, predicted_rank:2
user:7, item:50, real_rank:3, predicted_rank:3
user:8, item:23, real_rank:2, predicted_rank:4
user:8, item:29, real_rank:3, predicted_rank:3
user:8, item:33, real_rank:2, predicted_rank:2
user:8, item:34, real_rank:3, predicted_rank:2
user:8, item:35, real_rank:2, predicted_rank:2
user:8, item:39, real_rank:4, predicted_rank:3
user:8, item:40, real_rank:3, predicted_rank:3
user:8, item:47, real_rank:4, predicted_rank:3
user:8, item:48, real_rank:2, predicted_rank:3
user:8, item:49, real_rank:3, predicted_rank:2
user:9, item:2, real_rank:4, predicted_rank:3
user:9, item:4, real_rank:5, predicted_rank:4
user:9, item:5, real_rank:5, predicted_rank:3
user:9, item:6, real_rank:5, predicted_rank:4
user:9, item:8, real_rank:4, predicted_rank:3
user:9, item:11, real_rank:4, predicted_rank:4
user:9, item:12, real_rank:2, predicted_rank:4
user:9, item:13, real_rank:3, predicted_rank:4
user:9, item:14, real_rank:5, predicted_rank:4
user:9, item:16, real_rank:1, predicted_rank:3
user:9, item:19, real_rank:3, predicted_rank:3
user:9, item:28, real_rank:2, predicted_rank:4
user:9, item:30, real_rank:4, predicted_rank:3
user:9, item:32, real_rank:2, predicted_rank:3
user:9, item:33, real_rank:3, predicted_rank:3
user:9, item:36, real_rank:3, predicted_rank:3
user:9, item:37, real_rank:3, predicted_rank:4
user:9, item:38, real_rank:4, predicted_rank:4
user:9, item:39, real_rank:4, predicted_rank:3
user:9, item:44, real_rank:4, predicted_rank:4
user:9, item:45, real_rank:3, predicted_rank:4
user:9, item:48, real_rank:3, predicted_rank:2
user:10, item:1, real_rank:3, predicted_rank:2
user:10, item:2, real_rank:2, predicted_rank:2
user:10, item:4, real_rank:2, predicted_rank:3
user:10, item:5, real_rank:3, predicted_rank:2
user:10, item:6, real_rank:3, predicted_rank:3
user:10, item:7, real_rank:4, predicted_rank:2
user:10, item:9, real_rank:3, predicted_rank:3
user:10, item:10, real_rank:2, predicted_rank:3
user:10, item:12, real_rank:3, predicted_rank:3
user:10, item:15, real_rank:4, predicted_rank:3
user:10, item:18, real_rank:2, predicted_rank:2
user:10, item:19, real_rank:3, predicted_rank:3
user:10, item:26, real_rank:2, predicted_rank:2
user:10, item:27, real_rank:3, predicted_rank:2
user:10, item:28, real_rank:2, predicted_rank:2
user:10, item:29, real_rank:3, predicted_rank:2
user:10, item:32, real_rank:2, predicted_rank:1
user:10, item:33, real_rank:1, predicted_rank:2
user:10, item:36, real_rank:2, predicted_rank:3
user:10, item:37, real_rank:3, predicted_rank:2
user:10, item:39, real_rank:2, predicted_rank:2
user:10, item:43, real_rank:5, predicted_rank:2
user:10, item:45, real_rank:3, predicted_rank:2
user:10, item:46, real_rank:2, predicted_rank:2
user:10, item:47, real_rank:3, predicted_rank:3
user:10, item:49, real_rank:1, predicted_rank:2
user:10, item:50, real_rank:2, predicted_rank:2
user:11, item:1, real_rank:2, predicted_rank:1
user:11, item:2, real_rank:1, predicted_rank:2
user:11, item:3, real_rank:2, predicted_rank:2
user:11, item:4, real_rank:3, predicted_rank:2
user:11, item:5, real_rank:2, predicted_rank:2
user:11, item:6, real_rank:4, predicted_rank:3
user:11, item:7, real_rank:3, predicted_rank:3
user:11, item:10, real_rank:4, predicted_rank:2
user:11, item:11, real_rank:1, predicted_rank:3
user:11, item:12, real_rank:2, predicted_rank:2
user:11, item:13, real_rank:1, predicted_rank:3
user:11, item:14, real_rank:2, predicted_rank:2
user:11, item:22, real_rank:3, predicted_rank:3
user:11, item:23, real_rank:4, predicted_rank:3
user:11, item:25, real_rank:3, predicted_rank:3
user:11, item:28, real_rank:1, predicted_rank:2
user:11, item:29, real_rank:2, predicted_rank:2
user:11, item:30, real_rank:1, predicted_rank:2
user:11, item:31, real_rank:2, predicted_rank:2
user:11, item:32, real_rank:3, predicted_rank:2
user:11, item:33, real_rank:2, predicted_rank:2
user:11, item:39, real_rank:2, predicted_rank:3
user:11, item:46, real_rank:3, predicted_rank:3
user:11, item:47, real_rank:2, predicted_rank:3
user:11, item:48, real_rank:3, predicted_rank:3
user:11, item:49, real_rank:4, predicted_rank:2
user:11, item:50, real_rank:3, predicted_rank:3
user:12, item:6, real_rank:4, predicted_rank:3
user:12, item:7, real_rank:3, predicted_rank:4
user:12, item:16, real_rank:4, predicted_rank:4
user:12, item:17, real_rank:3, predicted_rank:4
user:12, item:18, real_rank:2, predicted_rank:3
user:12, item:19, real_rank:4, predicted_rank:2
user:12, item:20, real_rank:4, predicted_rank:3
user:12, item:26, real_rank:5, predicted_rank:3
user:12, item:42, real_rank:4, predicted_rank:4
user:12, item:43, real_rank:3, predicted_rank:4
user:12, item:44, real_rank:4, predicted_rank:4
user:12, item:45, real_rank:3, predicted_rank:3
user:12, item:46, real_rank:1, predicted_rank:3
user:12, item:47, real_rank:2, predicted_rank:2
user:12, item:48, real_rank:1, predicted_rank:2
user:12, item:49, real_rank:1, predicted_rank:2
user:12, item:50, real_rank:3, predicted_rank:2
user:13, item:3, real_rank:1, predicted_rank:2
user:13, item:6, real_rank:3, predicted_rank:3
user:13, item:10, real_rank:4, predicted_rank:3
user:13, item:19, real_rank:4, predicted_rank:3
user:13, item:23, real_rank:4, predicted_rank:3
user:13, item:33, real_rank:2, predicted_rank:2
user:13, item:38, real_rank:1, predicted_rank:3
user:13, item:44, real_rank:4, predicted_rank:3
user:13, item:46, real_rank:1, predicted_rank:2
user:13, item:48, real_rank:2, predicted_rank:1
user:13, item:50, real_rank:1, predicted_rank:2
user:14, item:4, real_rank:2, predicted_rank:3
user:14, item:8, real_rank:4, predicted_rank:3
user:14, item:17, real_rank:4, predicted_rank:3
user:14, item:19, real_rank:3, predicted_rank:3
user:14, item:21, real_rank:3, predicted_rank:4
user:14, item:23, real_rank:4, predicted_rank:3
user:14, item:31, real_rank:1, predicted_rank:2
user:14, item:33, real_rank:2, predicted_rank:2
user:14, item:35, real_rank:1, predicted_rank:2
user:14, item:39, real_rank:3, predicted_rank:3
user:14, item:41, real_rank:4, predicted_rank:4
user:14, item:44, real_rank:5, predicted_rank:4
user:14, item:48, real_rank:2, predicted_rank:3
user:14, item:50, real_rank:3, predicted_rank:2
user:15, item:1, real_rank:2, predicted_rank:3
user:15, item:3, real_rank:3, predicted_rank:2
user:15, item:6, real_rank:3, predicted_rank:3
user:15, item:7, real_rank:4, predicted_rank:3
user:15, item:8, real_rank:3, predicted_rank:2
user:15, item:10, real_rank:2, predicted_rank:3
user:15, item:11, real_rank:4, predicted_rank:3
user:15, item:12, real_rank:5, predicted_rank:4
user:15, item:13, real_rank:3, predicted_rank:4
user:15, item:14, real_rank:4, predicted_rank:3
user:15, item:15, real_rank:3, predicted_rank:3
user:15, item:16, real_rank:3, predicted_rank:2
user:15, item:17, real_rank:2, predicted_rank:3
user:15, item:18, real_rank:1, predicted_rank:3
user:15, item:19, real_rank:3, predicted_rank:2
user:15, item:21, real_rank:5, predicted_rank:4
user:15, item:22, real_rank:4, predicted_rank:4
user:15, item:23, real_rank:3, predicted_rank:4
user:15, item:25, real_rank:4, predicted_rank:3
user:15, item:26, real_rank:3, predicted_rank:3
user:15, item:27, real_rank:4, predicted_rank:3
user:15, item:31, real_rank:1, predicted_rank:2
user:15, item:32, real_rank:2, predicted_rank:2
user:15, item:33, real_rank:3, predicted_rank:2
user:15, item:34, real_rank:2, predicted_rank:2
user:15, item:35, real_rank:1, predicted_rank:2
user:15, item:37, real_rank:3, predicted_rank:3
user:15, item:38, real_rank:2, predicted_rank:3
user:15, item:39, real_rank:4, predicted_rank:3
user:15, item:40, real_rank:3, predicted_rank:3
user:15, item:42, real_rank:5, predicted_rank:4
user:15, item:45, real_rank:4, predicted_rank:4
user:15, item:47, real_rank:3, predicted_rank:2
user:15, item:49, real_rank:2, predicted_rank:3
user:15, item:50, real_rank:3, predicted_rank:3
user:16, item:1, real_rank:4, predicted_rank:3
user:16, item:2, real_rank:3, predicted_rank:3
user:16, item:6, real_rank:3, predicted_rank:3
user:16, item:7, real_rank:4, predicted_rank:3
user:16, item:8, real_rank:2, predicted_rank:3
user:16, item:9, real_rank:1, predicted_rank:3
user:16, item:10, real_rank:3, predicted_rank:3
user:16, item:11, real_rank:4, predicted_rank:4
user:16, item:12, real_rank:5, predicted_rank:4
user:16, item:13, real_rank:4, predicted_rank:4
user:16, item:14, real_rank:3, predicted_rank:4
user:16, item:15, real_rank:5, predicted_rank:4
user:16, item:16, real_rank:5, predicted_rank:3
user:16, item:17, real_rank:4, predicted_rank:3
user:16, item:18, real_rank:4, predicted_rank:3
user:16, item:19, real_rank:1, predicted_rank:4
user:16, item:20, real_rank:3, predicted_rank:3
user:16, item:21, real_rank:5, predicted_rank:4
user:16, item:22, real_rank:5, predicted_rank:4
user:16, item:23, real_rank:4, predicted_rank:4
user:16, item:24, real_rank:3, predicted_rank:3
user:16, item:25, real_rank:4, predicted_rank:4
user:16, item:26, real_rank:4, predicted_rank:4
user:16, item:27, real_rank:3, predicted_rank:3
user:16, item:28, real_rank:2, predicted_rank:3
user:16, item:29, real_rank:4, predicted_rank:3
user:16, item:30, real_rank:3, predicted_rank:3
user:16, item:31, real_rank:2, predicted_rank:2
user:16, item:32, real_rank:3, predicted_rank:2
user:16, item:33, real_rank:2, predicted_rank:3
user:16, item:34, real_rank:1, predicted_rank:3
user:16, item:35, real_rank:2, predicted_rank:2
user:16, item:36, real_rank:5, predicted_rank:4
user:16, item:37, real_rank:4, predicted_rank:4
user:16, item:38, real_rank:4, predicted_rank:4
user:16, item:39, real_rank:3, predicted_rank:3
user:16, item:40, real_rank:4, predicted_rank:4
user:16, item:41, real_rank:3, predicted_rank:4
user:16, item:42, real_rank:4, predicted_rank:4
user:16, item:43, real_rank:4, predicted_rank:4
user:16, item:44, real_rank:3, predicted_rank:4
user:16, item:45, real_rank:2, predicted_rank:4
user:16, item:46, real_rank:4, predicted_rank:3
user:16, item:47, real_rank:3, predicted_rank:4
user:16, item:48, real_rank:5, predicted_rank:3
user:16, item:49, real_rank:4, predicted_rank:3
user:16, item:50, real_rank:3, predicted_rank:3
user:17, item:1, real_rank:1, predicted_rank:2
user:17, item:2, real_rank:2, predicted_rank:2
